Date,Open,High,Low,Close,Adj Close,Volume
2016-09-28,112.300003,112.550003,111.760002,112.510002,110.992424,558300
2016-09-29,112.339996,112.559998,111.250000,111.540001,110.035507,573800
2016-09-30,111.949997,112.690002,111.739998,112.290001,110.775398,497100
2016-10-03,112.110001,112.209999,111.639999,112.029999,110.518898,787900
2016-10-04,112.139999,112.309998,111.220001,111.550003,110.045380,658700
2016-10-05,111.830002,112.010002,111.720001,111.720001,110.213081,484700
2016-10-06,111.550003,111.980003,111.320000,111.800003,110.292000,498800
2016-10-07,111.970001,112.040001,111.000000,111.410004,109.907272,485600
2016-10-10,111.410004,112.169998,111.410004,111.900002,110.390656,536300
2016-10-11,111.610001,111.669998,110.029999,110.440002,108.950356,534400
2016-10-12,110.550003,110.970001,110.320000,110.620003,109.127930,443300
2016-10-13,109.930000,110.629997,109.389999,110.349998,108.861572,528700
2016-10-14,110.760002,111.089996,110.230003,110.239998,108.753044,542700
2016-10-17,110.169998,110.279999,109.750000,109.809998,108.328842,578800
2016-10-18,110.779999,110.970001,110.470001,110.620003,109.127930,461100
2016-10-19,110.800003,111.080002,110.589996,110.940002,109.443604,636100
2016-10-20,110.809998,111.080002,110.419998,110.860001,109.364685,425100
2016-10-21,110.489998,111.080002,110.339996,111.029999,109.532387,509100
2016-10-24,111.570000,111.849998,111.570000,111.730003,110.222954,421700
2016-10-25,111.529999,111.570000,110.879997,110.940002,109.443604,536100
2016-10-26,110.379997,110.680000,109.980003,110.260002,108.772781,448200
2016-10-27,110.750000,110.839996,109.669998,109.750000,108.269653,509300
2016-10-28,109.739998,110.260002,109.160004,109.449997,107.973701,601800
2016-10-31,109.730003,109.739998,109.269997,109.379997,107.904640,488500
2016-11-01,109.629997,109.660004,107.769997,108.510002,107.046379,901900
2016-11-02,108.389999,108.639999,107.510002,107.699997,106.247307,781100
2016-11-03,107.750000,107.910004,106.900002,107.110001,105.665268,666500
2016-11-04,107.000000,107.739998,106.870003,107.029999,105.586342,685600
2016-11-07,108.570000,109.410004,108.500000,109.400002,107.924385,622600
2016-11-08,109.279999,110.410004,109.099998,110.000000,108.516289,626200
2016-11-09,108.410004,110.690002,108.410004,110.500000,109.009537,1190100
2016-11-10,110.940002,111.120003,108.870003,109.699997,108.220329,1075600
2016-11-11,109.510002,109.790001,109.019997,109.529999,108.052620,734100
2016-11-14,109.779999,109.820000,108.459999,108.779999,107.312737,755600
2016-11-15,109.320000,109.800003,109.160004,109.709999,108.230202,709300
2016-11-16,109.379997,110.089996,109.320000,110.040001,108.555748,598200
2016-11-17,110.019997,110.779999,109.980003,110.769997,109.275894,752200
2016-11-18,110.940002,111.050003,110.370003,110.459999,108.970078,790900
2016-11-21,110.800003,111.419998,110.760002,111.419998,109.917130,753200
2016-11-22,111.599998,111.639999,111.059998,111.510002,110.005920,702800
2016-11-23,111.269997,111.529999,111.010002,111.510002,110.005920,885400
2016-11-25,111.750000,111.830002,111.589996,111.830002,110.321602,476100
2016-11-28,111.690002,111.779999,111.209999,111.320000,109.818481,677500
2016-11-29,111.400002,111.889999,111.169998,111.629997,110.124298,897500
2016-11-30,111.820000,111.849998,110.690002,110.709999,109.216713,1205300
2016-12-01,110.820000,110.820000,109.160004,109.320000,107.845451,1380100
2016-12-02,109.330002,109.879997,109.239998,109.550003,108.072357,1075900
